date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20240722,center-left,48,0.0096,47,0.0094,5000
20240722,center,47,0.0094,47,0.0094,5000
20240722,center-right,0,0,0,0,0
20240722,far-right,0,0,0,0,0
20240729,far-left,76,0.0152,76,0.0152,5000
20240729,center-left,32,0.0064,32,0.0064,5000
20240729,center,42,0.0084,41,0.0082,5000
20240729,center-right,39,0.0078,39,0.0078,5000
20240729,far-right,0,0,0,0,0
20240805,far-left,44,0.0088,43,0.0086,5000
20240805,center-left,53,0.0106,52,0.0104,5000
20240805,center,46,0.0092,46,0.0092,5000
20240805,center-right,51,0.0102,50,0.01,5000
20240805,far-right,0,0,0,0,0
20240812,far-left,52,0.0104,52,0.0104,5000
20240812,center-left,59,0.0118,59,0.0118,5000
20240812,center,54,0.0108,53,0.0106,5000
20240812,center-right,56,0.0112,56,0.0112,5000
20240812,far-right,0,0,0,0,0
20240819,far-left,50,0.01,50,0.01,5000
20240819,center-left,48,0.0096,48,0.0096,5000
20240819,center,54,0.0108,54,0.0108,5000
20240819,center-right,77,0.0154,76,0.0152,5000
20240819,far-right,0,0,0,0,0
20240826,far-left,53,0.0106,52,0.0104,5000
20240826,center-left,55,0.011,54,0.0108,5000
20240826,center,55,0.011,52,0.0104,5000
20240826,center-right,76,0.0152,74,0.0148,5000
20240826,far-right,0,0,0,0,0
20240902,far-left,62,0.0124,61,0.0122,5000
20240902,center-left,92,0.0184,91,0.0182,5000
20240902,center,97,0.0194,92,0.0184,5000
20240902,center-right,87,0.0174,85,0.017,5000
20240902,far-right,0,0,0,0,0
20240909,far-left,89,0.0178,88,0.0176,5000
20240909,center-left,79,0.0158,78,0.0156,5000
20240909,center,98,0.0196,96,0.0192,5000
20240909,center-right,85,0.017,83,0.0166,5000
20240909,far-right,0,0,0,0,0
20240916,far-left,64,0.0128,64,0.0128,5000
20240916,center-left,86,0.0172,85,0.017,5000
20240916,center,89,0.0178,86,0.0172,5000
20240916,center-right,103,0.0206,100,0.02,5000
20240916,far-right,0,0,0,0,0
20240923,far-left,81,0.0162,81,0.0162,5000
20240923,center-left,89,0.0178,87,0.0174,5000
20240923,center,113,0.0226,110,0.022,5000
20240923,center-right,107,0.0214,104,0.0208,5000
20240923,far-right,0,0,0,0,0
20240930,far-left,84,0.0168,83,0.0166,5000
20240930,center-left,80,0.016,78,0.0156,5000
20240930,center,94,0.0188,92,0.0184,5000
20240930,center-right,97,0.0194,96,0.0192,5000
20240930,far-right,0,0,0,0,0
20241007,far-left,65,0.013,61,0.0122,5000
20241007,center-left,85,0.017,83,0.0166,5000
20241007,center,108,0.0216,105,0.021,5000
20241007,center-right,70,0.014,68,0.0136,5000
20241007,far-right,0,0,0,0,0
20241014,far-left,50,0.01,46,0.0092,5000
20241014,center-left,62,0.0124,62,0.0124,5000
20241014,center,95,0.019,93,0.0186,5000
20241014,center-right,83,0.0166,83,0.0166,5000
20241014,far-right,0,0,0,0,0
20241021,far-left,45,0.009,44,0.0088,5000
20241021,center-left,63,0.0126,62,0.0124,5000
20241021,center,88,0.0176,86,0.0172,5000
20241021,center-right,85,0.017,83,0.0166,5000
20241021,far-right,0,0,0,0,0
20241028,far-left,45,0.009,45,0.009,5000
20241028,center-left,67,0.0134,65,0.013,5000
20241028,center,84,0.0168,83,0.0166,5000
20241028,center-right,90,0.018,86,0.0172,5000
20241028,far-right,0,0,0,0,0
20241104,far-left,50,0.01,50,0.01,5000
20241104,center-left,69,0.0138,69,0.0138,5000
20241104,center,66,0.0132,66,0.0132,5000
20241104,center-right,69,0.0138,67,0.0134,5000
20241104,far-right,0,0,0,0,0
20241111,far-left,46,0.0092,46,0.0092,5000
20241111,center-left,57,0.0114,56,0.0112,5000
20241111,center,61,0.0122,61,0.0122,5000
20241111,center-right,73,0.0146,72,0.0144,5000
20241111,far-right,0,0,0,0,0
20241118,far-left,49,0.0098,49,0.0098,5000
20241118,center-left,62,0.0124,60,0.012,5000
20241118,center,61,0.0122,61,0.0122,5000
20241118,center-right,82,0.0164,82,0.0164,5000
20241118,far-right,0,0,0,0,0
20241125,far-left,50,0.011,48,0.0106,4541
20241125,center-left,58,0.0116,58,0.0116,5000
20241125,center,65,0.013,64,0.0128,5000
20241125,center-right,73,0.0146,73,0.0146,5000
20241125,far-right,0,0,0,0,0
20241202,far-left,44,0.0088,44,0.0088,5000
20241202,center-left,59,0.0118,59,0.0118,5000
20241202,center,62,0.0124,62,0.0124,5000
20241202,center-right,44,0.0088,43,0.0086,5000
20241202,far-right,0,0,0,0,0
20241209,far-left,43,0.0086,43,0.0086,5000
20241209,center-left,67,0.0134,67,0.0134,5000
20241209,center,51,0.0102,51,0.0102,5000
20241209,center-right,59,0.0118,57,0.0114,5000
20241209,far-right,0,0,0,0,0
20241216,far-left,38,0.0076,37,0.0074,5000
20241216,center-left,58,0.0116,57,0.0114,5000
20241216,center,40,0.008,40,0.008,5000
20241216,center-right,46,0.0092,46,0.0092,5000
20241216,far-right,0,0,0,0,0
20241223,far-left,29,0.00766,29,0.00766,3784
20241223,center-left,46,0.0092,46,0.0092,5000
20241223,center,38,0.0076,38,0.0076,5000
20241223,center-right,51,0.0102,51,0.0102,5000
20241223,far-right,0,0,0,0,0
20241230,far-left,37,0.0087,35,0.00823,4255
20241230,center-left,55,0.011,53,0.0106,5000
20241230,center,52,0.0104,52,0.0104,5000
20241230,center-right,53,0.0106,51,0.0102,5000
20241230,far-right,0,0,0,0,0
20250106,far-left,39,0.0078,39,0.0078,5000
20250106,center-left,45,0.009,43,0.0086,5000
20250106,center,45,0.009,45,0.009,5000
20250106,center-right,43,0.0086,43,0.0086,5000
20250106,far-right,0,0,0,0,0
20250113,far-left,49,0.0098,48,0.0096,5000
20250113,center-left,37,0.0074,37,0.0074,5000
20250113,center,52,0.0104,50,0.01,5000
20250113,center-right,46,0.0092,45,0.009,5000
20250113,far-right,0,0,0,0,0
20250120,far-left,58,0.0116,56,0.0112,5000
20250120,center-left,53,0.0106,52,0.0104,5000
20250120,center,40,0.008,40,0.008,5000
20250120,center-right,55,0.011,55,0.011,5000
20250120,far-right,0,0,0,0,0
20250127,far-left,69,0.0138,67,0.0134,5000
20250127,center-left,39,0.0078,39,0.0078,5000
20250127,center,42,0.0084,41,0.0082,5000
20250127,center-right,51,0.0102,51,0.0102,5000
20250127,far-right,0,0,0,0,0
20250203,far-left,62,0.0124,62,0.0124,5000
20250203,center-left,42,0.0084,41,0.0082,5000
20250203,center,0,0,0,0,0
20250203,center-right,54,0.0108,54,0.0108,5000
20250203,far-right,0,0,0,0,0
20250210,far-left,47,0.0094,46,0.0092,5000
20250210,center-left,47,0.0094,45,0.009,5000
20250210,center,42,0.0084,42,0.0084,5000
20250210,center-right,0,0,0,0,0
20250210,far-right,0,0,0,0,0
20250217,far-left,62,0.0124,60,0.012,5000
20250217,center-left,34,0.0068,34,0.0068,5000
20250217,center,52,0.0104,52,0.0104,5000
20250217,center-right,51,0.0102,50,0.01,5000
